,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.186,2.267958168236415,0.3586907486770702,1.473061671777723,2.031750167737674,2.266372597477843,2.5109271707008585,2.9830573841301367,0.020493882755074737
a_subj.187,2.3509297695695555,0.5193372468358289,1.3490333661762923,2.003311790650705,2.429744913972353,2.736579069143358,3.2586086234273424,0.03754670070061754
a_subj.188,3.913393899318344,0.45931625483813365,2.991482005571696,3.5880634369632327,3.9240070764679937,4.226882241154255,4.8002251789564045,0.022598498343975544
a_subj.190,2.228298007767013,0.2887754781679029,1.7202005181393258,2.033841126558805,2.2099669075230692,2.4191346619756584,2.815369541730247,0.012257199233192606
a_subj.192,1.525265469064723,0.5147659117898407,1.0241937270160317,1.1874444417212087,1.3098969915206489,1.6267811770843292,2.847823145308386,0.0444603407628547
a_subj.193,1.4745445945388134,0.31508787819929424,1.0716561090565189,1.2711692389678633,1.4006232273919665,1.5784616681363945,2.327458404007087,0.0206037380452666
a_subj.194,2.7661284170717466,0.3396268729076851,2.166967801469455,2.5181881833654636,2.76294501966955,2.991221803796879,3.4506171642963364,0.014677991779731031
a_subj.195,1.9377126398494682,0.6700272449641504,0.9308779211338412,1.2339105635943801,2.0890366330666645,2.4871856946059765,3.0678989030766237,0.0578966402811778
a_subj.196,0.8620113129438713,0.07433589359842285,0.7320660077149258,0.8095557277196669,0.8588997075369943,0.9085511056039282,1.0188500102677693,0.0022335868727618733
a_subj.197,2.1991964113548548,0.29962653952645857,1.6722005050518318,1.9890349870603812,2.1762940204245105,2.3854940481428057,2.851502308665906,0.013880551401487704
a_subj.198,3.364104707878656,0.4662443997587669,2.533301252851183,3.0236218995876283,3.3536970077370567,3.7026763952483126,4.285998494034073,0.029724323263201607
a_subj.199,2.171668134488084,0.37197356886835115,1.494034003102851,1.9197309980767125,2.1690277932556876,2.4260111293358397,2.926867023986843,0.02194713035887574
a_subj.200,1.041256179103959,0.0961827614360598,0.8740021713284793,0.9772975895787128,1.0316942433434635,1.0932185454266343,1.2628660290624705,0.0029804747410380975
a_subj.201,2.413724424826302,0.2947072085651374,1.8559124869500754,2.1993721803547768,2.4056300847781737,2.598073766910114,3.0368040536854455,0.00999176998388332
a_subj.202,2.259982205082766,0.32799427172939916,1.6480743017407082,2.038168240844529,2.2410710030599,2.4711641639942763,2.9224677062953632,0.014806808840335629
a_subj.203,3.1383672625127983,0.4157076435756212,2.361770051308278,2.8379955498334253,3.129078898827075,3.412638573621822,3.9776348730417843,0.022995193981906848
a_subj.205,2.452277190542732,0.3632954123797766,1.8008474364912677,2.1946103498865686,2.4198130361792956,2.7015885753497257,3.1978315217946767,0.017589521065225214
