subj_idx,condition,congruency,response,rt
4,standard,congruent,1,0.48469999998807906
4,standard,incongruent,1,0.5726999999880791
4,standard,congruent,1,0.42519999998807906
4,standard,incongruent,1,0.5785
4,standard,incongruent,1,0.519699999988079
4,standard,incongruent,1,0.4601000000238419
4,standard,congruent,1,0.506699999988079
4,standard,incongruent,1,0.453
4,standard,congruent,1,0.46
4,standard,incongruent,1,0.6158000000119209
4,standard,congruent,1,0.49680000001192093
4,standard,congruent,1,0.4355
4,standard,incongruent,1,0.4665
4,standard,incongruent,1,0.5285
4,standard,incongruent,1,0.5787999999523162
4,standard,incongruent,1,0.5201999999880791
4,standard,congruent,1,0.534
4,standard,congruent,1,0.5401999999880791
4,standard,congruent,1,0.49219999998807906
4,standard,incongruent,1,0.5405
4,standard,congruent,1,0.5541999999880791
4,standard,congruent,1,0.5025
4,standard,congruent,1,0.4496999999880791
4,standard,incongruent,1,0.6054000000357628
4,standard,incongruent,1,0.698
4,standard,congruent,1,0.5619000000357628
4,standard,congruent,1,0.5495
4,standard,incongruent,1,0.4790999999642372
4,standard,incongruent,1,0.582300000011921
4,standard,congruent,1,0.467
4,standard,congruent,1,0.42169999998807906
4,standard,incongruent,1,0.543699999988079
4,standard,incongruent,1,0.4994000000357628
4,standard,congruent,1,0.439
4,standard,incongruent,1,0.4888000000119209
4,standard,incongruent,1,0.7087000000476837
4,standard,congruent,1,0.5135999999642372
4,enhanced,congruent,1,0.4108000000119209
4,enhanced,congruent,1,0.3859000000357628
4,enhanced,incongruent,1,0.4476999999880791
4,enhanced,incongruent,1,0.4596999999880791
4,enhanced,incongruent,1,0.5854000000357628
4,enhanced,incongruent,1,0.44080000001192093
4,enhanced,congruent,1,0.43310000002384186
4,enhanced,incongruent,1,0.5495
4,enhanced,congruent,1,0.427
4,enhanced,congruent,1,0.4511000000238419
4,enhanced,congruent,1,0.44830000001192094
4,enhanced,congruent,1,0.4421999999880791
4,enhanced,incongruent,1,0.5081999999880791
4,enhanced,incongruent,1,0.5197000000476837
4,enhanced,congruent,1,0.37619999998807907
4,enhanced,incongruent,1,0.5516000000238419
4,enhanced,congruent,1,0.3774000000357628
4,enhanced,incongruent,1,0.48760000002384185
4,enhanced,incongruent,1,0.4762999999523163
4,enhanced,congruent,1,0.42
4,enhanced,congruent,1,0.4449000000357628
4,enhanced,incongruent,1,0.5930999999642372
4,enhanced,congruent,1,0.45730000001192095
