  dataset        a v_neutral t0_neutral   v_cued  t0_cued  penalty      fit     time   method
 cueing_DDM_subject308   3.5584   7.2293   0.3396   8.3279   0.2456   0.0000 -89.3323   0.0070       ML
 cueing_DDM_subject309   1.2690   3.4950   0.3515   5.1354   0.3155   0.0000 -77.3319   0.0280       ML
 cueing_DDM_subject31   1.1037   2.8899   0.3304   3.7868   0.3066   0.0000 -61.9999   0.0070       ML
 cueing_DDM_subject310   2.5298   4.3084   0.2857   3.9387   0.2041   0.0000 -45.9801   0.0080       ML
 cueing_DDM_subject311  10.0000  10.0736   0.1059   9.4490   0.0000   0.0000 -76.7252   0.0090       ML
 cueing_DDM_subject312   6.3659   8.1510   0.2038   9.2456   0.1452   0.0000 -81.3149   0.0090       ML
 cueing_DDM_subject313   1.5414   3.7552   0.4693   3.4383   0.3492   0.0000 -53.1599   0.0050       ML
 cueing_DDM_subject314   0.9499   3.7730   0.3781   2.4244   0.2676   0.0000 -59.6332   0.0070       ML
 cueing_DDM_subject315   2.6850   4.6329   0.3816   6.1406   0.3514   0.0000 -65.9633   0.0060       ML
 cueing_DDM_subject316   3.2942   9.4173   0.3220  10.4566   0.2844   0.0000 -116.3694   0.0060       ML
 cueing_DDM_subject317   1.0150   2.3240   0.3519   4.5729   0.3184   0.0000 -67.5446   0.0050       ML
 cueing_DDM_subject318   1.8424   3.5393   0.3465   2.6324   0.2065   0.0000 -30.3888   0.0050       ML
 cueing_DDM_subject319   1.1695   4.9951   0.3542   7.3114   0.3371   0.0000 -110.7699   0.0080       ML
 cueing_DDM_subject32   9.9976  11.0406   0.1147  14.1673   0.1502   0.0000 -99.6639   0.0110       ML
 cueing_DDM_subject320   1.4065   2.4830   0.4825   2.3201   0.3271   0.0000 -21.4339   0.0030       ML
 cueing_DDM_subject321   2.1463   4.0469   0.3191   6.4031   0.2968   0.0000 -62.5531   0.0040       ML
 cueing_DDM_subject322   1.1981   3.2587   0.4305   3.3023   0.2956   0.0000 -57.8830   0.0050       ML
 cueing_DDM_subject323   1.2555   2.8697   0.3551   3.0036   0.2662   0.0000 -45.9855   0.0050       ML
 cueing_DDM_subject324   6.5806   7.9214   0.1434   9.3801   0.1307   0.0000 -79.5274   0.0080       ML
 cueing_DDM_subject325   1.2175   3.1034   0.4612   2.0294   0.2424   0.0000 -33.9141   0.0060       ML
 cueing_DDM_subject326  10.0000   9.6361   0.0405  14.0582   0.0899   0.0000 -94.3114   0.0110       ML
 cueing_DDM_subject327   1.2139   3.7693   0.4402   6.0313   0.3814   0.0000 -87.9532   0.0090       ML
 cueing_DDM_subject329   2.7294   5.2706   0.3691   7.4545   0.3355   0.0000 -79.2745   0.0070       ML
 cueing_DDM_subject33   1.1490   5.1451   0.3595   4.5364   0.3324   0.0000 -92.0296   0.0100       ML
 cueing_DDM_subject330   1.2139   1.7819   0.2959   1.6918   0.2094   0.0000  -8.3279   0.0060       ML
 cueing_DDM_subject331   5.4945   7.9501   0.2325   7.6545   0.1714   0.0000 -75.0247   0.0070       ML
 cueing_DDM_subject332   1.2913   2.0183   0.4190   4.7522   0.3674   0.0000 -51.3698   0.0050       ML
 cueing_DDM_subject333   4.1973   9.6312   0.3211  10.1495   0.2531   0.0000 -107.6850   0.0080       ML
 cueing_DDM_subject335   1.3572   3.7537   0.4294   3.5755   0.3630   0.0000 -60.4864   0.0070       ML
 cueing_DDM_subject336   3.6652   5.1163   0.3245   4.6579   0.2401   0.0000 -47.1861   0.0060       ML
 cueing_DDM_subject337   3.6723   7.5299   0.2146  11.4033   0.2266   0.0000 -106.2548   0.0110       ML
 cueing_DDM_subject338   1.7137   4.6433   0.5598   3.7681   0.4006   0.0000 -63.1056   0.0070       ML
 cueing_DDM_subject339   1.3022   3.5576   0.3565   3.9203   0.2904   0.0000 -63.8829   0.0060       ML
 cueing_DDM_subject34  10.0000   9.4878   0.1561   9.2790   0.0925   0.0000 -73.8739   0.0080       ML
 cueing_DDM_subject340   0.9138   3.0601   0.3391   3.0516   0.2801   0.0000 -66.7114   0.0060       ML
 cueing_DDM_subject341   1.6344   3.7572   0.3655   7.0551   0.3360   0.0000 -81.6167   0.0050       ML
 cueing_DDM_subject342   1.0183   4.4173   0.3895   4.9492   0.3396   0.0000 -93.3494   0.0080       ML
 cueing_DDM_subject343   4.8986   6.6318   0.2820   8.1556   0.2536   0.0000 -74.6852   0.0090       ML
 cueing_DDM_subject344   1.0314   2.2632   0.2718   4.2546   0.2916   0.0000 -56.4073   0.0070       ML
 cueing_DDM_subject345   1.2766   3.5397   0.3729   2.9304   0.2625   0.0000 -52.9825   0.0070       ML
